3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	"2dda7p"
CPD-3764	"feoxam_un"
CPD-678	"seln"
CPD-1162	"arbt6p"
SUCROSE-6P	"suc6p"
CPD-1136	"2mcacn"
HYDROGEN-PEROXIDE	"h2o2"
L-CARNITINYL-COA	"crncoa"
ADENOSYLCOBINAMIDE-P	"adocbip"
D-BETA-D-HEPTOSE-1-P	"gmhep1p"
CPD-10434	"ethso3"
CPD-1093	"dxyl"
CPD-1091	"urdglyc"
CPD-763	"aso3"
2-KETOGLUTARATE	"akg"
L-Methionine-sulfoxides	"metsox-S-L"
CPD-722	"btnso"
GUANOSINE-5DP-3DP	"ppgpp"
AMMONIUM	"nh4"
PYRIDOXAL	"pydx"
3-P-SERINE	"pser__L"
PREPHENATE	"pphn"
N-ACETYLANTHRANILATE	"acanth"
UDP-GLUCURONATE	"udpglcur"
GLYCOLALDEHYDE	"gcald"
KDO2-LIPID-IVA	"kdo2lipid4"
GDP-4-DEHYDRO-6-L-DEOXYGALACTOSE	"gdpofuc"
INOSINE	"ins"
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	"2me4p"
N-ACETYL-GLUTAMYL-P	"acg5p"
D-XYLULOSE	"xylu__D"
PALMITYL-COA	"pmtcoa"
S-ADENOSYLMETHIONINAMINE	"ametam"
BETAINE_ALDEHYDE	"betald"
NIACINAMIDE	"ncam"
DADP	"dadp"
DEOXY-RIBOSE-5P	"2dr5p"
GAMMA-BUTYROBETAINE	"gbbtn"
DAMP	"damp"
CARBAMYUL-L-ASPARTATE	"cbasp"
ADENOSYLCOBINAMIDE-GDP	"agdpcbi"
DATP	"datp"
GALACTOSE	"gal_bD"
COPROPORPHYRINOGEN_III	"cpppg3"
L-ALLO-THREONINE	"athr__L"
URIDINE	"uri"
PUTRESCINE	"ptrc"
3-5-ADP	"pap"
CPD-7836	"ttdca"
ACETYL-GLU	"acglu"
HYDROXY-METHYL-BUTENYL-DIP	"h2mb4p"
PROTON	"h"
FRUCTOSE-6P	"f6p"
GALACTITOL	"galt"
1-KETO-2-METHYLVALERATE	"23dhmp"
D-GALACTONATE	"galctn__D"
DIAMINONONANOATE	"dann"
CPD-13034	"cenchddd"
GLYOX	"glx"
4-hydroxybenzoate	"4hbz"
L-rhamnose	"rmn"
DCDP	"dcdp"
2-PG	"2pg"
L-ARGININO-SUCCINATE	"argsuc"
D-GLUCARATE	"glcr"
CPD-8999	"dkmpp"
CPD-8990	"metsox_R__L"
DIHYDROSIROHYDROCHLORIN	"dscl"
CA+2	"ca2"
DCMP	"dcmp"
DIACYLGLYCEROL	"1"
RIBOSE-1P	"r1p"
N-ACETYL-D-MANNOSAMINE-6P	"acmanap"
CPD-7670	"dms"
TAURINE	"taur"
